"","species","Mean_Root_diameter","Root_C_concentration","Root_C_N_ratio","Root_N_concentration","Root_tissue_density","Specific_root_length","Root_mass_fraction","Root_branching_density","Root_branching_ratio","Root_Ca_concentration","Root_K_concentration","Root_length_density_volume","Root_lifespan_mean","Root_lifespan_median","Root_lignin_concentration","Root_litter_mass_loss_rate","Root_Mg_concentration","Root_Mn_concentration","Root_mycorrhizal colonization","Root_P_concentration","Root_stele_diameter","Root_stele_fraction","Root_total_structural_carbohydrate_concentration","Specific_root_area","Root_production","Root_turnover_rate","Rooting_depth","Specific_root_respiration","Root_mass_density","Coarse_root_fine_root_mass_ratio","Fine_root_mass_leaf_mass_ratio","Root_dry_matter_content","Root_cortex_thickness","Root_vessel_diameter","Root_xylem_vessel_number","Lateral_spread","Root_N_P_ratio","Net_nitrogen_uptake_rate"
"4969","Roemeria refracta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4970","Rollinia herzogii",NA,NA,NA,NA,NA,NA,0.243382383111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2597643088889,0.0290210107777778,NA,NA,NA,NA,NA,NA,NA
"4971","Rorippa amphibia",NA,NA,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,NA,NA
"4972","Rorippa austriaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
"4973","Rorippa palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4974","Rorippa sylvestris",NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA
"4975","Rosa acicularis",0.2912,571.417869,28.81395741,19.83128735,0.27,55.8341358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4976","Rosa arkansana",0.30555,NA,NA,NA,0.421153994,41.52607134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4977","Rosa arvensis",NA,NA,NA,NA,NA,NA,0.196137487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4978","Rosa blanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4979","Rosa canina",0.520525,NA,NA,NA,0.555418779,12.6910533,0.3670498075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.75,NA,NA,NA,NA,170.9203596,NA,NA,NA,NA,NA,NA,NA,0.320078708,NA,NA,NA,NA,NA,NA
"4980","Rosa glauca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4981","Rosa kokanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4982","Rosa majalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4983","Rosa multibracteata",NA,NA,NA,13.7,NA,6.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4984","Rosa multiflora",NA,439,NA,10.4,0.2,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177,NA,NA,NA,NA,NA,NA
"4985","Rosa persica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4986","Rosa pygmaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4987","Rosa rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4988","Rosa setigera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4989","Rosa soulieana",NA,NA,NA,7.5,NA,1.014715527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,0.248093842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4990","Rosa spinosissima",NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4991","Rosa woodsii",NA,446.3888168,68.43803896,6.522524953,NA,36.244043735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4992","Rosa xanthina",0.1844,468.2456363,30.00087918,15.60998533,0.222727273,186.3612731,0.3563218375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4993","Rosmarinus officinalis",0.424333333333333,NA,NA,NA,0.534580651333333,11.791323485,0.2689027475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.825,NA,NA,NA,NA,183.345100033333,NA,NA,NA,NA,NA,NA,NA,0.280071844,NA,NA,NA,NA,NA,NA
"4994","Rostellularia prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4995","Rostraria cristata",0.255412602666667,399.5,46.6,14.4479508333333,0.357649981666667,73.3648996716667,0.32855417515,NA,NA,NA,NA,NA,484,NA,110,1.957291024,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,0.542097222222222,25.85118497625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4996","Rottboellia cochinchinensis",NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4997","Rourea glabra",NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.45454545,NA
"4998","Rubia peregrina",0.3625,389.7,29.091044775,13.4,0.143,104.1,NA,NA,NA,NA,NA,NA,NA,NA,148.45,NA,NA,NA,NA,2.1,NA,NA,458.1,NA,NA,NA,NA,5.97,NA,NA,NA,0.1989,NA,NA,NA,13,NA,NA
"4999","Rubia tibetica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000","Rubus allegheniensis",0.194953059,341.90021,20.97708168,16.29875,1.70587574133333,26.21754555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.75,NA,NA,NA,NA,NA,666.33697385,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5001","Rubus ammobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5002","Rubus arcticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"5003","Rubus bertramii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5004","Rubus caesius",NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3.127572016,NA
"5005","Rubus chamaemorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,0.4375,NA,NA,NA,15,NA,NA,NA,NA,23.8,NA,NA
"5006","Rubus corchorifolius",0.3,NA,34.52,NA,NA,445.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.617079017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5007","Rubus crataegifolius",0.1511,433.3029039,17.77803947,24.37292957,0.194117647,283.6918182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5008","Rubus deliciosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009","Rubus divaricatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5010","Rubus vestitus",NA,NA,NA,NA,NA,NA,0.1889585505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA
"5011","Rubus proiectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,NA,NA
"5012","Rubus idaeus",0.220525,453.7587788,30.5339193175,16.16664325,0.228042328,143.8644537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5555555555556,NA,NA,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,16.6,NA,NA
"5013","Rubus irritans",0.177,549.2664267,22.88593747,24.00026853,0.213157895,192.6685185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5014","Rubus lasiococcus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5015","Rubus nessensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5016","Rubus odoratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5017","Rubus opacus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5018","Rubus pedatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5019","Rubus phoenicolasius",0.222013853666667,353.2861398,21.26948463,16.61,1.33670976666667,24.42402532,NA,NA,NA,NA,NA,NA,NA,NA,308.0922924,NA,NA,NA,89.166666665,NA,NA,NA,296.1650678,NA,710.9516216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5020","Rubus plicatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5021","Rubus pubescens",NA,NA,NA,NA,NA,57.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5022","Rubus pungens",NA,NA,NA,9.7,NA,2.982391691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,NA,NA,NA,NA,NA,NA,0.180221853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5023","Rubus rosifolius",0.118283333,486.493396,20.37340737,23.878843,0.284615385,319.4613514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5024","Rubus saxatilis",0.800514829,470.2453134,34.5701082775,16.94776141,0.63985166125,NA,NA,NA,NA,NA,NA,NA,NA,563.75,91.33965231,NA,NA,NA,44.3529411764706,3.366624178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320664718,NA,NA,NA,40,NA,NA
"5025","Rubus senticosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5026","Rubus setchuenensis",NA,NA,NA,NA,NA,1.332988879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214111351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5027","Rubus sulcatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5028","Rubus ulmifolius",0.331959375,NA,NA,NA,0.6954583465,19.58026971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7375,NA,NA,NA,NA,190.86302355,NA,NA,1.1,NA,NA,NA,NA,0.32784354,NA,NA,NA,NA,NA,NA
"5029","Rubus vestitus",NA,NA,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3,NA,NA
"5030","Rudbeckia hirta",0.2691575,NA,NA,21.64598,0.14325585,119.262643192104,0.287233852816667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,0.0713888888888889,36.8948255225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5031","Rudbeckia laciniata",0.3897,NA,NA,NA,0.246166303333333,53.7378666,0.239988439666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA
"5032","Echinacea serotina",0.41,NA,23.3,19.1954,0.22,82.5,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.93361442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5033","Ruellia ciliosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5034","Ruellia humilis",0.435330769230769,NA,NA,NA,0.40803047,18.4010959230769,0.340371152846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5035","Rumex acetosa",0.2402914584375,386.409849305,69.9690007375,9.22653342191379,0.252258471986076,161.128643170065,0.799502811516667,2.67803839295652,NA,4.93848777152,6.60359008794,6.1009113525,NA,NA,130,NA,4.5465468025625,NA,20.572,1.62123902787,300.14116665,0.08496165475,NA,540.366210483333,NA,NA,NA,NA,0.00066400285,NA,NA,0.302753642856604,NA,NA,NA,2.6,NA,27.547229356
"5036","Rumex acetosella",0.262467915,442,114,10.46130223,0.166783945166667,69.769659184,0.370900975375,3.339707233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1.87,67.98583335,0.12815647,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215494902833333,NA,NA,NA,29.4,NA,NA
"5037","Rumex alpestris",NA,460.4577812,36.89010258,13.27554929,NA,83.79999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"5038","Rumex alpinus",NA,NA,NA,17.32588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5039","Rumex aquaticus",NA,NA,NA,7.73535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5040","Rumex chalepensis",NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159333333333333,NA,NA,NA,NA,NA,NA
"5041","Rumex confertus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5042","Rumex crispus",0.17924,391.8,NA,3.2374285715,0.330035336,154.3076856,0.500519027,NA,NA,NA,NA,NA,NA,NA,23.85403815,NA,NA,NA,76,NA,NA,NA,NA,731.3005343,NA,NA,NA,86.1588875,NA,NA,NA,0.113443074,NA,NA,NA,NA,NA,NA
"5043","Rumex longifolius",NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA
"5044","Rumex obtusifolius",NA,406,84.7,8.58397666666667,NA,283,0.450824692311111,NA,NA,NA,NA,NA,NA,NA,NA,3.877643778,NA,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5045","Rumex palustris",NA,NA,NA,NA,NA,NA,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082975,NA,NA,NA,NA,NA,NA
"5046","Rumex pulcher",NA,NA,NA,12.9,NA,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.398614387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5047","Rumex thyrsiflorus",0.1884,NA,NA,NA,0.172429907,214.5632962,0.398032787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1259.0151,NA,NA,NA,NA,NA,NA,NA,0.1117,NA,NA,NA,NA,NA,NA
"5048","Rungia pectinata",0.444,432.9,86.40718563,5.01,NA,18.47,NA,NA,NA,NA,NA,NA,NA,NA,122.1,NA,NA,NA,NA,NA,NA,NA,685.6,NA,NA,NA,NA,5.17,NA,NA,NA,0.3757,NA,NA,NA,NA,NA,NA
"5049","Ruppia maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"5050","Ruprechtia fusca",NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5051","Ruschia robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5052","Ruscus aculeatus",1.0938,NA,NA,NA,0.224128699,5.017843568,0.556867815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4166666665,NA,NA,NA,NA,168.4128062,NA,NA,NA,NA,NA,NA,NA,0.199124854,NA,NA,NA,NA,NA,NA
"5053","Ruscus hypophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5054","Rytidosperma caespitosum",0.271,NA,NA,NA,NA,168.7,0.293839227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1445,NA,NA,0.66,NA,NA,0.4658857495,NA,0.3101,NA,NA,NA,NA,NA,NA
"5055","Rytidosperma pumilum",NA,NA,NA,NA,0.221538462,49.7674612357143,NA,4.215429894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400139371,NA,NA,NA,NA,NA,NA
"5056","Rytidosperma richardsonii",0.209937489833333,NA,NA,NA,NA,182.159068091667,0.138961841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0812908104166667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5057","Rytidosperma setifolium",0.2,374.2,NA,6.596524064,0.38,141.21340085,0.3267318525,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5058","Saccharum officinarum",NA,NA,NA,NA,NA,NA,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5059","Saccharum ravennae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5060","Saccharum rufipilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,772.25,1.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5061","Saccharum spontaneum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5062","Sagina nodosa",NA,NA,NA,NA,NA,NA,0.183673469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063","Sagina subulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5064","Sagittaria latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,33.3,NA,NA
"5065","Sagittaria sagittifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,NA,NA
"5066","Salicornia europaea",NA,301.184876766667,NA,7.10871001066667,NA,NA,0.0954222220555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.8591469555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5067","Salix alaxensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5068","Salix alba",NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
